               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069159,            0.021989,            0.019872,             0.56013,              0.6669,             0.61191,             0.26809,            0.042244,           0.0084087,           0.0089751,            0.070144,           0.0033173,           0.0033173
                   1,             0.04628,               0.016,           0.0078779,             0.64286,              0.7961,             0.81753,             0.46983,            0.044958,           0.0065114,           0.0045783,            0.039486,           0.0059922,           0.0059922
                   2,            0.040789,            0.013638,           0.0062135,             0.80813,             0.88703,             0.89844,             0.57581,            0.032965,           0.0058782,           0.0035645,           0.0081674,           0.0080071,           0.0080071
                   3,            0.034617,            0.012866,           0.0057556,             0.94564,             0.90898,             0.96256,             0.62255,            0.026241,           0.0055648,           0.0038449,             0.00703,             0.00703,             0.00703
                   4,            0.032099,            0.012153,           0.0049011,             0.94637,             0.93397,             0.96532,               0.683,            0.025132,           0.0052247,           0.0037801,             0.00703,             0.00703,             0.00703
                   5,            0.028591,            0.011796,           0.0046534,             0.98577,             0.94403,             0.98326,             0.73158,            0.020832,           0.0049913,           0.0019438,             0.00604,             0.00604,             0.00604
                   6,            0.025996,            0.010931,           0.0037866,              0.9648,             0.96942,             0.98995,             0.75335,            0.020327,           0.0046218,           0.0018179,             0.00505,             0.00505,             0.00505
                   7,            0.024006,            0.010366,           0.0031989,             0.98394,             0.95778,             0.99201,             0.79813,            0.018042,           0.0044316,           0.0011381,             0.00406,             0.00406,             0.00406
                   8,            0.022457,            0.010152,           0.0028486,             0.95734,             0.96639,             0.99097,             0.79981,            0.016921,           0.0042912,           0.0014061,             0.00307,             0.00307,             0.00307
                   9,            0.020768,           0.0096456,            0.002675,             0.98051,             0.98883,             0.99409,             0.81865,            0.015364,           0.0040505,          0.00086298,             0.00208,             0.00208,             0.00208
